date,American Airlines Group,american airlines group travel
2020-11-15,26,0
2020-11-22,59,49
2020-11-29,52,0
2020-12-06,66,48
2020-12-13,47,0
2020-12-20,59,54
2020-12-27,50,52
2021-01-03,60,0
2021-01-10,40,49
2021-01-17,13,0
2021-01-24,72,0
2021-01-31,53,49
2021-02-07,73,0
2021-02-14,53,0
2021-02-21,46,97
2021-02-28,53,0
2021-03-07,27,0
2021-03-14,25,0
2021-03-21,53,0
2021-03-28,48,51
2021-04-04,87,0
2021-04-11,40,0
2021-04-18,40,0
2021-04-25,53,48
2021-05-02,26,49
2021-05-09,27,0
2021-05-16,60,0
2021-05-23,20,0
2021-05-30,48,50
2021-06-06,40,0
2021-06-13,73,0
2021-06-20,48,0
2021-06-27,68,0
2021-07-04,41,51
2021-07-11,28,51
2021-07-18,63,0
2021-07-25,41,0
2021-08-01,35,0
2021-08-08,42,0
2021-08-15,75,100
2021-08-22,44,53
2021-08-29,14,0
2021-09-05,45,55
2021-09-12,44,0
2021-09-19,86,53
2021-09-26,7,0
2021-10-03,43,0
2021-10-10,82,0
2021-10-17,51,0
2021-10-24,58,54
2021-10-31,74,0
2021-11-07,100,0
