date,Advance Auto Parts,okta advance auto parts,advance auto parts mayaguez,autopart store near me
2020-11-15,82,0,0,52
2020-11-22,84,0,44,44
2020-11-29,88,0,44,17
2020-12-06,80,0,44,52
2020-12-13,80,0,0,35
2020-12-20,91,0,0,58
2020-12-27,91,0,0,84
2021-01-03,82,0,0,70
2021-01-10,86,0,0,44
2021-01-17,78,0,0,52
2021-01-24,75,0,0,43
2021-01-31,73,0,0,78
2021-02-07,75,0,0,96
2021-02-14,73,46,44,52
2021-02-21,81,0,44,52
2021-02-28,87,0,0,70
2021-03-07,87,0,0,70
2021-03-14,88,0,0,41
2021-03-21,100,0,45,35
2021-03-28,91,48,0,100
2021-04-04,89,46,0,44
2021-04-11,91,0,0,44
2021-04-18,84,0,44,35
2021-04-25,87,0,0,43
2021-05-02,81,0,0,87
2021-05-09,82,0,46,90
2021-05-16,82,0,0,44
2021-05-23,93,0,0,61
2021-05-30,85,0,0,54
2021-06-06,91,47,0,71
2021-06-13,85,46,45,62
2021-06-20,88,0,0,54
2021-06-27,91,0,0,72
2021-07-04,92,0,0,45
2021-07-11,90,48,0,73
2021-07-18,86,98,0,37
2021-07-25,79,0,46,54
2021-08-01,77,96,0,45
2021-08-08,81,48,47,64
2021-08-15,81,0,0,27
2021-08-22,85,0,98,48
2021-08-29,79,100,48,57
2021-09-05,79,0,100,69
2021-09-12,74,51,0,57
2021-09-19,77,50,97,47
2021-09-26,72,0,48,28
2021-10-03,73,0,0,57
2021-10-10,79,0,0,49
2021-10-17,78,0,49,19
2021-10-24,76,0,49,38
2021-10-31,73,0,0,29
2021-11-07,74,70,0,40
