date,Accenture,accenture ips,accenture ransomware
2020-11-15,58,0,0
2020-11-22,56,0,0
2020-11-29,57,0,0
2020-12-06,54,0,0
2020-12-13,66,5,0
2020-12-20,52,0,0
2020-12-27,43,0,0
2021-01-03,60,0,0
2021-01-10,61,5,0
2021-01-17,60,0,0
2021-01-24,71,0,0
2021-01-31,68,0,0
2021-02-07,68,0,0
2021-02-14,73,0,2
2021-02-21,75,100,0
2021-02-28,73,82,0
2021-03-07,74,41,0
2021-03-14,73,34,1
2021-03-21,71,46,0
2021-03-28,70,57,0
2021-04-04,69,18,0
2021-04-11,64,18,0
2021-04-18,76,14,0
2021-04-25,75,27,0
2021-05-02,79,23,0
2021-05-09,77,24,0
2021-05-16,82,0,2
2021-05-23,75,14,0
2021-05-30,97,14,0
2021-06-06,89,5,2
2021-06-13,85,5,0
2021-06-20,90,14,0
2021-06-27,84,24,0
2021-07-04,86,24,0
2021-07-11,90,10,0
2021-07-18,88,5,0
2021-07-25,88,14,0
2021-08-01,89,14,0
2021-08-08,100,5,100
2021-08-15,92,14,16
2021-08-22,94,10,5
2021-08-29,87,25,2
2021-09-05,86,15,3
2021-09-12,90,0,3
2021-09-19,97,0,0
2021-09-26,92,5,2
2021-10-03,83,5,3
2021-10-10,74,0,0
2021-10-17,80,0,2
2021-10-24,77,0,2
2021-10-31,63,5,2
2021-11-07,79,0,0
