date,Adobe,adobe max 2021,adobe 2021,adobe flash player deinstallieren
2020-11-15,89,0,26,5
2020-11-22,85,0,34,0
2020-11-29,87,0,26,5
2020-12-06,84,2,26,21
2020-12-13,84,2,30,11
2020-12-20,71,0,30,23
2020-12-27,71,0,45,28
2021-01-03,87,2,51,100
2021-01-10,100,0,83,79
2021-01-17,88,2,71,52
2021-01-24,90,2,59,5
2021-01-31,87,2,56,42
2021-02-07,84,0,52,16
2021-02-14,83,2,57,16
2021-02-21,85,2,64,16
2021-02-28,87,2,67,10
2021-03-07,81,0,65,21
2021-03-14,81,2,66,0
2021-03-21,80,2,67,0
2021-03-28,77,0,61,0
2021-04-04,76,2,69,5
2021-04-11,78,0,65,0
2021-04-18,81,4,71,5
2021-04-25,78,2,55,0
2021-05-02,77,4,73,0
2021-05-09,74,0,77,0
2021-05-16,77,0,75,0
2021-05-23,73,4,67,0
2021-05-30,73,0,78,5
2021-06-06,76,2,69,0
2021-06-13,76,4,74,0
2021-06-20,71,4,79,0
2021-06-27,73,4,77,5
2021-07-04,68,0,65,0
2021-07-11,73,0,83,0
2021-07-18,69,2,72,6
2021-07-25,69,2,72,0
2021-08-01,67,2,72,5
2021-08-08,64,0,76,6
2021-08-15,69,6,77,0
2021-08-22,69,4,90,0
2021-08-29,76,8,81,0
2021-09-05,76,6,74,0
2021-09-12,80,8,90,6
2021-09-19,77,8,75,0
2021-09-26,79,10,87,0
2021-10-03,78,10,93,0
2021-10-10,80,24,85,0
2021-10-17,78,26,80,0
2021-10-24,79,100,100,6
2021-10-31,74,10,83,0
2021-11-07,84,5,84,0
