date,Albemarle Corporation,albemarle corporation stock
2020-11-15,55,34
2020-11-22,22,0
2020-11-29,43,33
2020-12-06,33,17
2020-12-13,67,17
2020-12-20,61,38
2020-12-27,36,18
2021-01-03,67,17
2021-01-10,100,34
2021-01-17,55,100
2021-01-24,22,50
2021-01-31,55,0
2021-02-07,44,0
2021-02-14,66,51
2021-02-21,55,34
2021-02-28,33,34
2021-03-07,11,17
2021-03-14,52,47
2021-03-21,22,34
2021-03-28,35,18
2021-04-04,22,0
2021-04-11,44,34
2021-04-18,44,34
2021-04-25,55,17
2021-05-02,66,17
2021-05-09,11,17
2021-05-16,56,0
2021-05-23,11,0
2021-05-30,11,18
2021-06-06,34,17
2021-06-13,45,17
2021-06-20,46,17
2021-06-27,34,17
2021-07-04,23,18
2021-07-11,58,18
2021-07-18,12,0
2021-07-25,11,18
2021-08-01,12,0
2021-08-08,47,53
2021-08-15,46,17
2021-08-22,24,0
2021-08-29,36,18
2021-09-05,12,0
2021-09-12,73,0
2021-09-19,24,0
2021-09-26,60,18
2021-10-03,36,37
2021-10-10,0,0
2021-10-17,24,37
2021-10-24,61,0
2021-10-31,62,38
2021-11-07,50,0
