date,Align Technology,align technology inc,align technology aktie,align technology careers
2020-11-15,56,0,33,0
2020-11-22,37,66,66,46
2020-11-29,22,65,65,45
2020-12-06,52,0,33,0
2020-12-13,26,0,0,0
2020-12-20,53,73,0,0
2020-12-27,44,71,0,0
2021-01-03,75,0,100,92
2021-01-10,71,0,0,46
2021-01-17,37,0,33,0
2021-01-24,37,66,0,0
2021-01-31,100,0,33,0
2021-02-07,59,0,0,0
2021-02-14,70,66,66,0
2021-02-21,78,66,33,0
2021-02-28,56,0,0,0
2021-03-07,33,66,66,0
2021-03-14,55,0,0,0
2021-03-21,41,0,0,0
2021-03-28,46,0,0,0
2021-04-04,52,0,33,0
2021-04-11,82,66,33,0
2021-04-18,78,66,66,0
2021-04-25,70,0,0,0
2021-05-02,41,66,0,0
2021-05-09,34,0,0,0
2021-05-16,41,0,67,0
2021-05-23,30,0,0,0
2021-05-30,38,0,34,0
2021-06-06,34,0,0,0
2021-06-13,56,0,0,0
2021-06-20,50,0,0,0
2021-06-27,50,0,0,0
2021-07-04,35,69,0,0
2021-07-11,54,0,0,0
2021-07-18,59,70,71,49
2021-07-25,65,68,0,0
2021-08-01,50,0,0,0
2021-08-08,66,0,35,48
2021-08-15,30,0,0,47
2021-08-22,57,73,36,0
2021-08-29,52,0,0,50
2021-09-05,42,74,37,0
2021-09-12,77,73,36,0
2021-09-19,40,72,0,50
2021-09-26,44,0,36,0
2021-10-03,40,72,0,100
2021-10-10,71,0,37,0
2021-10-17,65,0,36,0
2021-10-24,53,0,0,0
2021-10-31,74,0,0,0
2021-11-07,39,100,50,0
