date,Amcor,amcor joplin mo,amcor franklin indiana,s&p 500 chart
2020-11-15,55,0,0,61
2020-11-22,41,93,0,53
2020-11-29,51,0,0,47
2020-12-06,57,0,0,53
2020-12-13,54,0,0,46
2020-12-20,39,0,0,70
2020-12-27,47,100,0,59
2021-01-03,55,0,0,72
2021-01-10,51,0,0,68
2021-01-17,66,0,0,45
2021-01-24,67,0,0,100
2021-01-31,85,0,97,71
2021-02-07,67,0,0,55
2021-02-14,56,0,97,59
2021-02-21,62,0,0,69
2021-02-28,61,0,0,95
2021-03-07,78,0,0,89
2021-03-14,64,0,91,55
2021-03-21,56,0,0,47
2021-03-28,60,0,0,41
2021-04-04,67,0,0,52
2021-04-11,66,0,97,53
2021-04-18,85,0,0,55
2021-04-25,51,0,0,63
2021-05-02,79,0,0,57
2021-05-09,54,0,100,69
2021-05-16,55,0,98,58
2021-05-23,57,0,0,61
2021-05-30,63,97,0,49
2021-06-06,64,0,0,40
2021-06-13,94,94,0,48
2021-06-20,67,0,0,55
2021-06-27,62,0,0,49
2021-07-04,64,0,0,62
2021-07-11,63,0,0,54
2021-07-18,100,0,0,44
2021-07-25,68,0,0,55
2021-08-01,62,0,0,47
2021-08-08,58,98,0,40
2021-08-15,79,0,100,53
2021-08-22,68,0,0,41
2021-08-29,60,0,0,47
2021-09-05,73,0,0,51
2021-09-12,75,0,0,59
2021-09-19,57,0,0,84
2021-09-26,61,0,0,85
2021-10-03,54,0,0,97
2021-10-10,60,0,0,67
2021-10-17,56,0,0,52
2021-10-24,70,0,0,74
2021-10-31,58,0,0,64
2021-11-07,89,0,0,87
