date,Ameriprise Financial,ameriprise financial gurgaon,ameriprise financial minneapolis
2020-11-15,79,92,0
2020-11-22,66,0,50
2020-11-29,85,0,0
2020-12-06,33,0,0
2020-12-13,51,0,0
2020-12-20,48,0,0
2020-12-27,57,0,0
2021-01-03,69,0,0
2021-01-10,54,0,0
2021-01-17,45,0,49
2021-01-24,58,0,0
2021-01-31,59,0,100
2021-02-07,92,0,0
2021-02-14,71,0,0
2021-02-21,61,0,50
2021-02-28,74,0,0
2021-03-07,100,0,50
2021-03-14,69,0,0
2021-03-21,64,0,0
2021-03-28,69,0,52
2021-04-04,77,0,0
2021-04-11,92,0,50
2021-04-18,69,0,0
2021-04-25,76,0,0
2021-05-02,79,0,0
2021-05-09,71,0,0
2021-05-16,75,93,0
2021-05-23,64,0,0
2021-05-30,61,0,0
2021-06-06,68,94,0
2021-06-13,75,0,50
2021-06-20,100,95,0
2021-06-27,71,0,0
2021-07-04,59,0,0
2021-07-11,45,0,52
2021-07-18,90,0,0
2021-07-25,66,0,0
2021-08-01,61,96,0
2021-08-08,73,0,0
2021-08-15,39,0,0
2021-08-22,84,0,0
2021-08-29,53,0,54
2021-09-05,57,0,56
2021-09-12,42,0,55
2021-09-19,53,100,54
2021-09-26,72,0,54
2021-10-03,47,0,0
2021-10-10,75,0,0
2021-10-17,59,0,55
2021-10-24,81,0,55
2021-10-31,68,0,56
2021-11-07,58,0,0
