date,Amphenol,amphenol aktie,amphenol mexicali,amphenol advanced sensors
2020-11-15,92,0,0,0
2020-11-22,42,0,0,66
2020-11-29,68,0,87,65
2020-12-06,91,0,0,0
2020-12-13,94,0,0,0
2020-12-20,60,0,0,0
2020-12-27,39,51,0,71
2021-01-03,70,0,0,0
2021-01-10,76,0,89,0
2021-01-17,83,0,88,0
2021-01-24,87,0,88,0
2021-01-31,88,0,89,0
2021-02-07,59,0,0,66
2021-02-14,68,48,0,66
2021-02-21,81,0,89,0
2021-02-28,75,96,89,0
2021-03-07,76,0,0,0
2021-03-14,78,0,0,0
2021-03-21,67,0,0,0
2021-03-28,70,0,0,69
2021-04-04,73,0,0,67
2021-04-11,100,0,0,0
2021-04-18,85,0,0,0
2021-04-25,93,48,0,0
2021-05-02,79,0,0,66
2021-05-09,72,99,0,0
2021-05-16,77,48,90,67
2021-05-23,77,0,0,0
2021-05-30,95,0,0,0
2021-06-06,76,0,0,0
2021-06-13,91,0,0,0
2021-06-20,88,0,0,0
2021-06-27,79,0,0,0
2021-07-04,83,100,0,0
2021-07-11,74,50,0,0
2021-07-18,89,0,0,70
2021-07-25,60,0,0,0
2021-08-01,62,0,0,0
2021-08-08,59,0,0,0
2021-08-15,61,0,0,0
2021-08-22,65,0,98,0
2021-08-29,78,52,0,0
2021-09-05,75,0,100,0
2021-09-12,73,53,0,0
2021-09-19,71,0,0,0
2021-09-26,62,0,96,0
2021-10-03,74,0,97,0
2021-10-10,88,0,0,0
2021-10-17,76,0,0,0
2021-10-24,73,0,98,0
2021-10-31,76,0,0,73
2021-11-07,91,0,0,100
