date,Activision Blizzard,activision blizzard sued,activision blizzard investor relations,blizzard lawsuit
2020-11-15,10,0,0,0
2020-11-22,10,0,0,0
2020-11-29,8,0,0,1
2020-12-06,7,8,0,0
2020-12-13,8,0,0,0
2020-12-20,8,0,0,0
2020-12-27,8,0,0,0
2021-01-03,6,0,0,0
2021-01-10,8,0,0,0
2021-01-17,6,0,0,0
2021-01-24,10,0,0,0
2021-01-31,14,0,90,0
2021-02-07,12,0,0,0
2021-02-14,9,0,0,0
2021-02-21,12,0,0,0
2021-02-28,11,0,90,0
2021-03-07,8,0,0,0
2021-03-14,10,0,84,1
2021-03-21,7,0,0,0
2021-03-28,8,0,0,0
2021-04-04,5,0,91,0
2021-04-11,5,0,0,0
2021-04-18,9,0,0,0
2021-04-25,8,0,0,1
2021-05-02,12,0,0,0
2021-05-09,8,0,0,0
2021-05-16,6,0,0,0
2021-05-23,4,0,0,0
2021-05-30,5,0,0,1
2021-06-06,5,0,0,0
2021-06-13,7,0,0,0
2021-06-20,7,0,0,1
2021-06-27,6,0,0,0
2021-07-04,5,0,0,0
2021-07-11,5,0,0,0
2021-07-18,54,100,0,100
2021-07-25,100,40,0,96
2021-08-01,49,8,94,35
2021-08-08,29,0,95,13
2021-08-15,12,0,0,9
2021-08-22,15,0,0,9
2021-08-29,13,0,0,7
2021-09-05,10,0,0,5
2021-09-12,9,0,0,5
2021-09-19,14,0,0,2
2021-09-26,9,0,0,10
2021-10-03,9,0,0,5
2021-10-10,11,0,0,5
2021-10-17,9,0,0,3
2021-10-24,8,0,0,5
2021-10-31,30,0,100,1
2021-11-07,14,0,0,2
