date,3M,3m open 2021,3m leaderboard 2021,3m open leaderboard 2021
2020-11-15,74,0,0,0
2020-11-22,73,0,0,0
2020-11-29,75,0,0,0
2020-12-06,76,0,0,0
2020-12-13,70,0,0,0
2020-12-20,60,0,0,0
2020-12-27,60,1,0,0
2021-01-03,78,0,0,0
2021-01-10,78,2,0,0
2021-01-17,82,1,0,0
2021-01-24,87,0,0,0
2021-01-31,82,0,0,0
2021-02-07,73,0,0,0
2021-02-14,72,0,0,0
2021-02-21,79,0,0,0
2021-02-28,82,0,0,0
2021-03-07,83,1,0,0
2021-03-14,80,0,0,0
2021-03-21,81,0,0,0
2021-03-28,77,1,0,0
2021-04-04,80,1,1,0
2021-04-11,80,1,0,0
2021-04-18,76,0,0,0
2021-04-25,76,0,0,0
2021-05-02,75,0,0,0
2021-05-09,76,0,0,0
2021-05-16,75,1,0,0
2021-05-23,74,0,0,0
2021-05-30,77,0,0,0
2021-06-06,75,0,0,0
2021-06-13,75,0,0,0
2021-06-20,70,1,0,0
2021-06-27,71,3,1,0
2021-07-04,71,2,0,0
2021-07-11,74,2,0,0
2021-07-18,100,100,100,100
2021-07-25,87,39,66,50
2021-08-01,77,0,0,0
2021-08-08,73,0,0,0
2021-08-15,66,0,0,0
2021-08-22,69,0,0,0
2021-08-29,65,0,0,0
2021-09-05,68,0,0,0
2021-09-12,67,0,0,0
2021-09-19,66,0,0,0
2021-09-26,65,0,0,0
2021-10-03,65,0,0,0
2021-10-10,65,0,0,0
2021-10-17,66,0,0,0
2021-10-24,65,0,0,0
2021-10-31,62,0,0,0
2021-11-07,67,0,0,0
